loss,mae,val_loss,val_mae,learning_rate
8617.4111328125,85.9422836303711,8904.408203125,89.16095733642578,9.999999747378752e-05
8313.2548828125,85.5868148803711,8633.9990234375,88.67585754394531,9.999999747378752e-05
8045.41357421875,85.12812805175781,8336.890625,87.82890319824219,9.999999747378752e-05
7742.240234375,84.30422973632812,8033.70556640625,86.83492279052734,9.999999747378752e-05
7444.0478515625,83.34114837646484,7709.958984375,85.55625915527344,9.999999747378752e-05
7090.92919921875,81.8424072265625,7371.8564453125,83.94971466064453,9.999999747378752e-05
6714.0732421875,79.86111450195312,7029.8642578125,81.96339416503906,9.999999747378752e-05
6392.92041015625,77.79742431640625,6687.263671875,79.5633773803711,9.999999747378752e-05
6002.4267578125,74.96964263916016,6354.576171875,76.79007720947266,9.999999747378752e-05
5681.51904296875,72.18219757080078,6026.97607421875,73.67044067382812,9.999999747378752e-05
5224.57958984375,68.22252655029297,5711.45751953125,70.3183364868164,9.999999747378752e-05
4917.07275390625,64.96175384521484,5396.60595703125,66.84455871582031,9.999999747378752e-05
4599.40869140625,61.538917541503906,5088.13818359375,63.339866638183594,9.999999747378752e-05
4255.21533203125,57.733619689941406,4772.09814453125,59.93080520629883,9.999999747378752e-05
3859.462646484375,54.48794174194336,4479.2275390625,56.55905532836914,9.999999747378752e-05
3573.432373046875,51.15266036987305,4190.0009765625,53.48217010498047,9.999999747378752e-05
3223.61181640625,48.08700180053711,3912.7880859375,50.47903823852539,9.999999747378752e-05
2944.320068359375,44.8970947265625,3633.163330078125,47.66035079956055,9.999999747378752e-05
2676.552001953125,42.59917449951172,3386.107177734375,44.93697738647461,9.999999747378752e-05
2476.093994140625,40.16920852661133,3137.615478515625,42.415313720703125,9.999999747378752e-05
2175.822998046875,37.413455963134766,2904.100341796875,40.1131591796875,9.999999747378752e-05
1933.9434814453125,34.8111686706543,2690.404052734375,37.99709701538086,9.999999747378752e-05
1743.002685546875,33.19330978393555,2475.2353515625,36.02386474609375,9.999999747378752e-05
1588.7945556640625,31.207263946533203,2281.333251953125,34.20205307006836,9.999999747378752e-05
1436.6165771484375,29.688474655151367,2109.918212890625,32.32236099243164,9.999999747378752e-05
1256.0389404296875,27.282804489135742,1960.2677001953125,30.64031982421875,9.999999747378752e-05
1157.121337890625,26.107528686523438,1814.3092041015625,29.001527786254883,9.999999747378752e-05
1032.9559326171875,24.95163345336914,1679.6422119140625,27.63833999633789,9.999999747378752e-05
983.6888427734375,23.925033569335938,1566.1729736328125,26.385282516479492,9.999999747378752e-05
859.5272216796875,22.78516960144043,1460.3917236328125,25.20880699157715,9.999999747378752e-05
850.2716674804688,22.493024826049805,1376.2657470703125,23.984825134277344,9.999999747378752e-05
768.1646728515625,21.12640953063965,1302.07568359375,23.039655685424805,9.999999747378752e-05
702.14404296875,20.413177490234375,1229.6170654296875,22.110042572021484,9.999999747378752e-05
645.12890625,19.536163330078125,1163.119384765625,21.39958381652832,9.999999747378752e-05
644.8118286132812,19.403493881225586,1101.2369384765625,20.676536560058594,9.999999747378752e-05
600.8409423828125,19.006893157958984,1058.309814453125,20.14514923095703,9.999999747378752e-05
579.7981567382812,18.33561897277832,1022.934326171875,19.687763214111328,9.999999747378752e-05
553.94384765625,18.076753616333008,983.9711303710938,19.321619033813477,9.999999747378752e-05
484.498046875,17.176376342773438,957.8095703125,18.989500045776367,9.999999747378752e-05
517.467529296875,17.72994041442871,938.1468505859375,18.741647720336914,9.999999747378752e-05
496.1872863769531,16.801176071166992,918.7741088867188,18.544185638427734,9.999999747378752e-05
459.1484680175781,16.531103134155273,899.01416015625,18.24187660217285,9.999999747378752e-05
479.49932861328125,16.885982513427734,881.4830322265625,18.00119972229004,9.999999747378752e-05
463.6670837402344,16.606191635131836,862.2830200195312,17.883207321166992,9.999999747378752e-05
460.13397216796875,16.272159576416016,853.7288818359375,17.634416580200195,9.999999747378752e-05
436.3321838378906,16.489091873168945,827.409912109375,17.505754470825195,9.999999747378752e-05
422.1955871582031,15.783150672912598,822.8775024414062,17.334875106811523,9.999999747378752e-05
