loss,mae,val_loss,val_mae,learning_rate
8616.462890625,86.16584014892578,8597.9619140625,87.2260513305664,9.999999747378752e-05
8247.015625,85.67105865478516,8232.80078125,86.41144561767578,9.999999747378752e-05
7938.60302734375,85.10698699951172,7823.2041015625,85.06593322753906,9.999999747378752e-05
7548.91259765625,83.85192108154297,7377.5341796875,83.31318664550781,9.999999747378752e-05
7185.83056640625,82.32014465332031,6904.39892578125,81.04698944091797,9.999999747378752e-05
6810.25146484375,80.3101806640625,6428.60693359375,78.29609680175781,9.999999747378752e-05
6428.00830078125,77.63446807861328,5963.54931640625,75.08857727050781,9.999999747378752e-05
6049.89013671875,74.4808349609375,5520.10400390625,71.5518569946289,9.999999747378752e-05
5683.09423828125,71.0738296508789,5097.03271484375,67.78852844238281,9.999999747378752e-05
5335.5029296875,67.57981872558594,4685.0029296875,63.91272735595703,9.999999747378752e-05
4893.05517578125,63.596004486083984,4288.52880859375,59.98566436767578,9.999999747378752e-05
4593.6728515625,59.816646575927734,3901.087890625,56.2234992980957,9.999999747378752e-05
4190.03125,56.38432312011719,3524.952880859375,52.5228385925293,9.999999747378752e-05
3800.85986328125,52.633174896240234,3168.830810546875,49.012123107910156,9.999999747378752e-05
3312.970703125,48.7778434753418,2835.5419921875,45.46535110473633,9.999999747378752e-05
3043.21435546875,45.47869110107422,2527.30126953125,42.17168045043945,9.999999747378752e-05
2708.29248046875,42.470157623291016,2247.9833984375,39.12272644042969,9.999999747378752e-05
2439.9345703125,39.48666000366211,1989.714111328125,36.29297637939453,9.999999747378752e-05
2177.19287109375,37.18141174316406,1755.344482421875,33.7233772277832,9.999999747378752e-05
1938.1783447265625,34.710487365722656,1548.15869140625,31.265995025634766,9.999999747378752e-05
1754.2572021484375,32.512474060058594,1363.6568603515625,29.079456329345703,9.999999747378752e-05
1469.4249267578125,30.092735290527344,1204.5703125,27.050111770629883,9.999999747378752e-05
1366.2235107421875,28.4099063873291,1067.8529052734375,25.247154235839844,9.999999747378752e-05
1243.5277099609375,27.115907669067383,947.7529907226562,23.56235694885254,9.999999747378752e-05
1082.77392578125,25.25890350341797,844.0342407226562,21.92213249206543,9.999999747378752e-05
1001.159912109375,24.061038970947266,759.7685546875,20.578353881835938,9.999999747378752e-05
